0 Wine Name,1 Vintage,2,3 Size,"4 Bottle price landed, DP excellar",5 Wholesale Price, 6 Margin,7 Notes
"Valle Andino Gran Reserva, Merlot",2008,,0.75,6.98,10.00,43%,
Saint Georges,2011,GEOR003,0.375,6.97,12.25,76%,
"Michel Wust, Gewurztraminer Tradition",2012,MICH001,0.75,6.92,10.25,48%,
"Citari, Lugana",2010,,0.75,6.84,10.00,46%,
"Agro de Bazan, Albarino Contrapunto",2011,,0.75,6.80,9.75,43%,
"Ellevin, Petit Chablis",2012,,0.75,6.76,10.25,52%,
"Valle Andino Reserva Especial, Pinot Noir",2010,,0.75,6.74,10.00,48%,
"Valle Andino Reserva Especial, Pinot Noir",2012,,0.75,6.71,10.00,49%,
"Valle Andino Gran Reserva, Cabernet Sauvignon",2008,,0.75,6.69,10.00,49%,
"Ellevin, Petit Chablis",2011,ELLE001,0.75,6.64,10.25,54%,
"Guillopees, Sancerre Cuvee Henri Vernoy Rose",2012,,0.75,6.60,11.50,74%,
"Poggio Salvi, Chianti Colli Senesi",2012,POGG002,0.75,6.60,9.75,48%,
"Valle Andino Reserva, Carmenere",2008,,0.75,6.60,7.00,6%,
"Guillopees, Sancerre Cuvee Henri Vernoy Rose",2013,GUIL003,0.75,6.51,11.50,77%,
Potensac,2009,,0.375,6.46,14.50,125%,
Mille Roses (Haut Medoc),2008,MILL005,0.375,6.37,10.75,69%,
"Valle Andino Reserva, Sauvignon Blanc",2009,,0.75,6.34,7.00,10%,
"Antonin Guyon, Chorey les Beaune Champs Longs",2009,GUYO007,0.375,6.22,10.50,69%,
"Valle Andino Reserva, Merlot",2009,,0.75,6.19,7.00,13%,
"Friarwood, Bourgogne Blanc Chatelaine",2010,,0.75,6.14,7.50,22%,
"Valle Andino Reserva Especial, Sauvignon Blanc",2009,,0.75,6.14,8.25,34%,
"Citari, San Martino Della Battaglia Vv",2009,,0.75,5.86,8.75,49%,
"Citari, San Martino Della Battaglia Vv",2010,CITA002,0.75,5.86,8.75,49%,
Orangerie,2006,,0.75,5.80,9.75,68%,
"Valle Andino Reserva Especial, Chardonnay",2012,,0.75,5.75,8.25,43%,
"Villa Teresa, Prosecco Spumante",NV,,0.75,5.73,8.25,44%,
"Valle Andino Reserva Especial, Merlot",2009,,0.75,5.70,8.25,45%,
"Clos Pins, Rouge",2009,,0.375,5.62,0.00,-100%,Shop only
Orangerie,2008,ORAN001,0.75,5.59,8.75,56%,
Fonplegade,2010,,0.375,5.57,17.50,214%,
"Empson, Spumante Borgo Imperiale Brut Rose",NV,BORG001,0.75,5.54,7.25,31%,
"Stony, Muscat",2008,STON001,0.375,5.54,6.75,22%,
"Benchmark, Shiraz Grant Burge",2012,,0.75,5.52,7.50,36%,
"Guillopees, Sancerre Cuvee Henri Vernoy",2013,GUIL002,0.375,5.52,6.25,13%,
"Fleur de Pin, Doux",2009,,0.375,5.50,7.50,36%,
"Valle Andino Reserva Especial, Merlot",2011,,0.75,5.48,8.25,50%,
"Ellevin, Chablis Vaucoupin",2012,ELLE006,0.375,5.44,9.25,70%,
"Friarwood, Sauvignon Saumon",2012,FRIA001,0.75,5.42,6.25,15%,
"Trois Celliers, Cotes du Rhone Sentier des Terroirs",2012,TROI001,0.75,5.41,7.50,39%,
"Pastor Diaz, Rioja Valdejimena Crianza",2008,PAST003,0.75,5.37,8.75,63%,
Vignol,2009,VIGN001,0.75,5.30,7.75,46%,
"Castra Rubra, Dominant White",2013,CAST002,0.75,5.28,7.00,33%,
"Castra Rubra, Motley Cock White",2013,CAST004,0.75,5.28,7.00,33%,
"Monteviejo, Torrontes Festivo",2010,,0.75,5.25,7.75,48%,
"Tonon, Pinot Grigio Venezia",2013,TONO002,0.75,5.23,8.25,58%,
"Mont Auriol, Viognier",2012,MONT006,0.75,5.15,6.75,31%,
"Saint Peyre, Picpoul de Pinet",2012,,0.75,5.12,6.75,32%,
"Monteviejo, Malbec Festivo",2013,,0.75,5.12,7.75,51%,
"Monteviejo, Malbec Festivo",2012,MONT002,0.75,5.12,7.75,52%,
"Castra Rubra, Dominant Red",2010,CAST001,0.75,5.05,7.00,39%,
"Pastor Diaz, Rioja Valdejimena Tempranillo",2012,PAST004,0.75,5.04,7.50,49%,
"Castra Rubra, Motley Cock Red",2009,CAST003,0.75,5.04,7.00,39%,
"Henriques, Madeira 10 Years",NV,,0.75,5.00,0.00,-100%,shop only
"Henriques, Madeira Full Rich",NV,,0.75,5.00,0.00,-100%,shop only
Lisennes,2010,LISE001,0.75,5.00,8.00,60%,
"Mont Auriol, Sauvignon Blanc",2013,,0.75,4.96,6.75,36%,
"Mont Auriol, Viognier",2013,,0.75,4.96,6.75,36%,
"Mont Auriol, Viognier",2011,,0.75,4.93,6.75,37%,
"Pignataro, Montelpuciano d'Abruzzo Monte Tessa",2012,PIGN001,0.75,4.92,6.25,27%,
"Tonon, Pinot Grigio Villa Teresa",2013,TONO001,0.75,4.91,7.00,43%,
"Ellevin, Chablis",2013,ELLE003,0.375,4.91,7.25,48%,
"Mont Auriol, Cabernet Sauvignon",2009,MONT009,0.75,4.84,6.75,40%,
"Haute Cariziere, Muscadet Clos Chene",2012,DANI001,0.75,4.82,7.25,50%,
"Mont Auriol, Chardonnay",2012,MONT008,0.75,4.81,6.75,40%,
"Mont Auriol, Chardonnay",2010,,0.75,4.80,6.75,41%,
"Mont Auriol, Merlot",2013,MONT007,0.75,4.79,6.75,41%,
"Mont Auriol, Chardonnay",2013,,0.75,4.78,6.75,41%,
"Mont Auriol, Sauvignon Blanc",2014,MONT005,0.75,4.78,6.75,41%,
"Pastor Diaz, Rioja Valdejimena Tempranillo",2011,,0.75,4.77,7.50,57%,
"Valle Andino Reserva, Cabernet Sauvignon",2012,,0.75,4.73,7.00,48%,
"Verne Maziere, Fleurie Madone",2010,VERN002,0.375,4.68,6.25,34%,
"Valle Andino Reserva, Syrah",2011,,0.75,4.67,7.00,50%,
"Cristo de la Vega, Tempranillo Marques de Castilla",2013,CRIST001,0.75,4.61,0.00,-100%,shop only?
"Valle Andino Reserva, Carmenere",2009,,0.75,4.53,7.00,54%,
"Guillopees, Sancerre Cuvee Henri Vernoy Rose",2013,GUIL004,0.375,4.53,6.75,49%,
"Ormer Bay, Chardonnay",2009,ORME002,0.75,4.48,5.50,23%,
"Ormer Bay, Chardonnay Viogner",2009,ORME003,0.75,4.48,5.50,23%,
"De Bortoli, Shiraz Willowglen",2012,WILL001,0.75,4.40,6.00,36%,
"Friarwood, Marcassin Merlot",2011,FRIA002,0.75,4.38,6.25,43%,
"Henriques, Olivier",2011,,0.75,4.24,0.00,-100%,shop only
"Ormer Bay, Pinotage",2009,ORME001,0.75,4.17,5.50,32%,
Lucas,2008,LUCA002,0.375,4.16,7.25,74%,
"Pignataro, Trebbiano d'Abruzzo",2008,,0.75,4.13,6.25,51%,
"Charles Deloire, Pouilly Fume",2010,,0.375,4.10,6.50,59%,
"Benchmark, Chardonnay Grant Burge",2012,,0.75,4.00,7.50,88%,
"Ellevin, Chablis",2012,,0.375,3.98,7.25,82%,
"Altovela, Sauvignon Blanc Cumplido",2010,ALTO002,0.75,3.95,5.25,33%,
"Ormer Bay, Sauvignon Blanc",2009,ORME004,0.75,3.89,5.50,41%,
"Poggio Salvi, Chianti Colli Senesi",2012,POGG003,0.375,3.77,6.50,72%,
"Quatre Tours, Provence Rose",2013,QUAT001,0.75,3.74,7.50,101%,
"Pignataro, Trebbiano d'Abruzzo",2011,PIGN002,0.75,3.72,6.25,68%,
"Altovela, Tempranillo Cumplido",2011,ALTO001,0.75,3.62,5.25,45%,
"Altovela, Tempranillo Cumplido",2012,,0.75,3.62,5.25,45%,
"Antonin Guyon, Savigny les Beaune Goudelettes",2009,GUYO008,0.375,3.00,12.50,317%,Bought in bond 22.97 for 24x37.5 Edward mistake !
"Altovela, Tempranillo Cumplido",2010,,0.75,2.90,5.25,81%,
